City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Isangel,VU,78.21,broken clouds,-19.55,169.2667,Tanna Lodge
238,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
239,Aipe,CO,77.79,overcast clouds,3.2222,-75.2367,Dunas Tatacoa
248,Cockburn Town,TC,81.81,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
252,Wilmington,US,75.88,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
259,Kavieng,PG,85.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
261,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
265,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
270,Bonthe,SL,75.88,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
271,Takoradi,GH,75.38,overcast clouds,4.8845,-1.7554,Raybow International Hotel
276,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
277,Dossor,KZ,85.77,scattered clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
278,Abu Kamal,SY,81.07,clear sky,34.4506,40.9171,البوكمال
279,Russell,US,78.03,scattered clouds,32.3502,-85.1999,Macs
280,Ust-Nera,RU,76.1,overcast clouds,64.5667,143.2,Hotel Ust-Nera
281,Nabire,ID,79.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
285,Cherskiy,RU,81.81,broken clouds,68.75,161.3,Gostinitsa
288,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
291,Lata,PT,76.05,overcast clouds,40.1629,-8.3327,Casa Maquia
296,Ingham,US,77.18,clear sky,42.6,-84.3833,Sunset Mobile Home Park
297,Santa Rosa,PH,88.11,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
301,Beruwala,LK,81.12,overcast clouds,6.4788,79.9828,The Palms Hotel
305,Kawalu,ID,78.91,broken clouds,-7.3817,108.2082,West Jontor
310,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
312,Champerico,GT,80.1,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
314,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
315,Lorengau,PG,83.16,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Surt,LY,76.75,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
321,Scotts Valley,US,80.96,clear sky,37.0511,-122.0147,Hilton Santa Cruz/Scotts Valley
331,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
337,Eyl,SO,78.37,scattered clouds,7.9803,49.8164,Amiin Hotel
338,Saveh,IR,86.38,clear sky,35.0213,50.3566,Sadra
340,Myitkyina,MM,85.37,broken clouds,25.3833,97.4,Shwe Phyu Hotel
345,Lamar,US,85.91,clear sky,33.6668,-95.5836,Kings Inn Paris TX
346,Sabang,ID,82.2,overcast clouds,5.8933,95.3214,Hotel Citra
347,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
349,Srivardhan,IN,76.78,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
350,Kismayo,SO,75.15,light rain,-0.3582,42.5454,Agan-Hotel
