City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Viedma,AR,-40.8135,-62.9967,36.97,66,6,9.22,clear sky
166,Kysyl-Syr,RU,63.8986,122.7617,75.42,48,54,7.83,broken clouds
167,Awjilah,LY,29.1081,21.2869,74.88,49,0,13.4,clear sky
168,Gigmoto,PH,13.7796,124.39,86.29,72,99,6.51,overcast clouds
169,Dikson,RU,73.5069,80.5464,37.69,92,100,6.22,overcast clouds
170,Vestmannaeyjar,IS,63.4427,-20.2734,52.48,93,100,14.99,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,59.92,84,21,7.34,few clouds
172,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,11.5,broken clouds
173,Sakakah,SA,29.9697,40.2064,81.97,23,1,6.33,clear sky
174,Jutai,BR,-5.1833,-68.9,76.91,81,100,0.29,overcast clouds
175,Chotila,IN,22.4167,71.1833,76.23,86,99,17.65,overcast clouds
176,Buraydah,SA,26.326,43.975,84.65,16,74,8.72,broken clouds
177,Sterling,US,39.0062,-77.4286,74.19,68,20,8.05,few clouds
178,Kruisfontein,ZA,-34.0033,24.7314,49.33,80,0,6.38,clear sky
179,Castro,BR,-24.7911,-50.0119,66.33,50,100,14.76,overcast clouds
180,Edgemoor,US,39.7501,-75.4996,72.95,79,0,1.99,clear sky
181,Atlantic City,US,39.3643,-74.4229,71.98,83,0,8.05,clear sky
182,Supaul,IN,26.1167,86.6,89.73,58,23,15.1,few clouds
183,Zhigalovo,RU,54.8097,105.1578,75.15,39,82,5.91,broken clouds
184,Tura,IN,25.5198,90.2201,85.71,66,1,2.82,clear sky
185,Beira,MZ,-19.8436,34.8389,66.29,94,40,2.3,mist
186,Teluknaga,ID,-6.0989,106.6381,90.63,74,20,4.61,haze
187,Kidal,ML,18.4411,1.4078,87.39,37,11,6.42,few clouds
188,Honningsvag,NO,70.9821,25.9704,51.55,93,15,0.0,few clouds
189,Shenjiamen,CN,29.9576,122.298,81.43,85,92,18.14,overcast clouds
190,Pangnirtung,CA,66.1451,-65.7125,51.49,79,100,1.99,light rain
191,Northam,GB,51.0333,-4.2167,68.4,68,100,5.59,overcast clouds
192,Batagay,RU,67.6333,134.6333,65.73,66,100,8.52,overcast clouds
193,Calabozo,VE,8.9242,-67.4293,72.91,95,84,3.06,broken clouds
194,Pisco,PE,-13.7,-76.2167,59.05,82,40,2.3,mist
195,Kahului,US,20.8947,-156.47,86.02,64,40,23.02,scattered clouds
196,Tautira,PF,-17.7333,-149.15,76.86,80,32,13.44,light rain
197,Mahebourg,MU,-20.4081,57.7,71.26,73,40,16.11,scattered clouds
198,Ostrovnoy,RU,68.0531,39.5131,63.07,83,99,4.38,overcast clouds
199,Acarau,BR,-2.8856,-40.12,79.2,77,94,15.57,overcast clouds
