City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Avarua,CK,2022-07-05 19:29:28,-21.2078,-159.775,73.45,60,44,8.05
123,Nome,US,2022-07-05 19:29:28,64.5011,-165.4064,51.87,83,100,9.22
124,Ridgecrest,US,2022-07-05 19:29:28,35.6225,-117.6709,89.47,21,0,10.36
125,Cayenne,GF,2022-07-05 19:28:57,4.9333,-52.3333,86.04,3,75,2.3
126,Khatanga,RU,2022-07-05 19:28:56,71.9667,102.5,54.32,52,100,4.05
127,Powell River,CA,2022-07-05 19:29:29,49.8496,-124.5361,66.07,77,75,5.75
128,Cidreira,BR,2022-07-05 19:29:30,-30.1811,-50.2056,64.98,90,100,11.01
129,Paramirim,BR,2022-07-05 19:29:30,-13.4425,-42.2389,83.41,29,0,11.1
130,Lebu,CL,2022-07-05 19:29:30,-37.6167,-73.65,51.93,85,100,10.6
131,Sangar,RU,2022-07-05 19:29:31,63.9242,127.4739,62.08,92,100,4.54
132,Bethel,US,2022-07-05 19:29:31,41.3712,-73.414,79.05,67,100,7.05
133,Richards Bay,ZA,2022-07-05 19:29:32,-28.783,32.0377,67.53,77,0,9.82
134,Palu,ID,2022-07-05 19:29:32,-0.8917,119.8707,76.05,95,100,2.37
135,Cockburn Town,TC,2022-07-05 19:29:33,21.4612,-71.1419,81.63,75,1,16.87
136,Port Moresby,PG,2022-07-05 19:29:33,-9.4431,147.1797,74.62,94,20,2.3
137,Jamestown,US,2022-07-05 19:24:37,42.097,-79.2353,76.01,80,100,17.27
138,Bathsheba,BB,2022-07-05 19:29:33,13.2167,-59.5167,86.61,81,20,14.97
139,Broome,US,2022-07-05 19:29:34,42.2506,-75.833,73.33,90,100,5.99
140,Lagoa,PT,2022-07-05 19:30:34,39.05,-27.9833,65.39,82,100,11.63
141,Nhulunbuy,AU,2022-07-05 19:30:35,-12.2333,136.7667,68.61,68,75,11.5
142,Cherskiy,RU,2022-07-05 19:30:36,68.75,161.3,57.7,89,100,9.31
143,Hami,CN,2022-07-05 19:30:37,42.8,93.45,81.9,27,0,20.47
144,Leningradskiy,RU,2022-07-05 19:28:50,69.3833,178.4167,50.97,69,100,0.89
145,Ahipara,NZ,2022-07-05 19:30:38,-35.1667,173.1667,60.04,98,100,5.1
146,Hithadhoo,MV,2022-07-05 19:30:39,-0.6,73.0833,82.67,71,18,5.7
147,Awbari,LY,2022-07-05 19:30:39,26.5921,12.7805,87.04,18,0,8.79
148,Makakilo City,US,2022-07-05 19:26:42,21.3469,-158.0858,79.12,74,100,13.8
149,Mbala,ZM,2022-07-05 19:30:43,-8.8402,31.3659,56.35,52,8,7.99
150,Sibolga,ID,2022-07-05 19:30:44,1.7427,98.7792,78.58,79,99,2.68
151,Kirensk,RU,2022-07-05 19:30:45,57.7853,108.1119,55.31,93,100,1.88
152,Kribi,CM,2022-07-05 19:30:46,2.95,9.9167,76.12,88,72,5.3
153,Rio Gallegos,AR,2022-07-05 19:27:39,-51.6226,-69.2181,33.85,80,75,2.3
154,Acapulco,MX,2022-07-05 19:30:47,16.8634,-99.8901,85.82,70,75,5.75
155,Pacific Grove,US,2022-07-05 19:26:32,36.6177,-121.9166,74.88,82,40,12.66
156,Sungairaya,ID,2022-07-05 19:30:47,0.7,108.9,78.15,88,100,4.43
157,Tommot,RU,2022-07-05 19:30:48,58.9564,126.2925,71.71,77,63,3.8
158,Ambatofinandrahana,MG,2022-07-05 19:30:49,-20.55,46.8,49.55,95,9,3.98
159,Bambous Virieux,MU,2022-07-05 19:30:49,-20.3428,57.7575,68.25,73,40,5.75
160,Hilo,US,2022-07-05 19:30:48,19.7297,-155.09,87.28,75,75,6.91
161,Kenai,US,2022-07-05 19:30:50,60.5544,-151.2583,72.03,67,0,8.05
162,Paka,MY,2022-07-05 19:27:51,4.6374,103.4368,78.73,94,90,1.14
163,Tual,ID,2022-07-05 19:27:49,-5.6667,132.75,78.31,81,100,20.02
164,Buchanan,LR,2022-07-05 19:30:51,5.8808,-10.0467,76.8,83,13,6.17
165,Honningsvag,NO,2022-07-05 19:30:52,70.9821,25.9704,58.75,94,0,2.3
166,Oranjemund,NA,2022-07-05 19:30:52,-28.55,16.4333,54.05,72,0,9.48
167,Tiksi,RU,2022-07-05 19:28:43,71.6872,128.8694,42.84,70,98,4.92
168,Dulyapino,RU,2022-07-05 19:30:53,57.2578,40.8147,62.01,88,96,1.86
169,Bonavista,CA,2022-07-05 19:30:53,48.6499,-53.1147,61.56,60,66,7.25
170,Beysehir,TR,2022-07-05 19:30:54,37.6773,31.7246,63.82,33,0,4.65
171,Camacha,PT,2022-07-05 19:30:55,33.0833,-16.3333,65.62,68,75,13.8
172,Luderitz,NA,2022-07-05 19:30:55,-26.6481,15.1594,56.66,59,0,12.59
173,Hailey,US,2022-07-05 19:30:56,43.5196,-114.3153,81.88,28,0,5.75
174,Longyearbyen,SJ,2022-07-05 19:30:56,78.2186,15.6401,44.44,76,75,9.22
175,Coquimbo,CL,2022-07-05 19:30:57,-29.9533,-71.3436,60.53,55,0,13.8
176,Olutanga,PH,2022-07-05 19:30:57,7.3106,122.8464,81.86,76,94,4.43
177,Dingle,PH,2022-07-05 19:30:58,10.9995,122.6711,76.01,90,94,1.54
178,Zhigansk,RU,2022-07-05 19:30:59,66.7697,123.3711,47.34,72,100,17.52
179,Khani,GE,2022-07-05 19:30:59,41.9563,42.9566,62.17,91,64,2.77
180,Mitsamiouli,KM,2022-07-05 19:31:00,-11.3847,43.2844,77.32,71,44,7.9
181,Hirara,JP,2022-07-05 19:31:00,24.8,125.2833,83.73,79,17,18.01
182,Puerto Escondido,MX,2022-07-05 19:29:14,15.85,-97.0667,86.83,58,40,5.75
183,Natal,BR,2022-07-05 19:26:41,-5.795,-35.2094,84.42,65,20,13.8
184,Seydi,TM,2022-07-05 19:31:01,39.4816,62.9137,77.07,25,0,8.39
185,Fort Nelson,CA,2022-07-05 19:28:46,58.8053,-122.7002,74.79,46,20,0.0
186,Hamilton,US,2022-07-05 19:31:02,39.1834,-84.5333,91.22,70,75,10.36
187,Berezovyy,RU,2022-07-05 19:32:02,51.6667,135.7,68.56,83,99,2.86
188,Provideniya,RU,2022-07-05 19:32:03,64.3833,-173.3,46.72,94,100,7.0
189,Coihaique,CL,2022-07-05 19:32:03,-45.5752,-72.0662,37.35,93,75,6.91
190,Sibiti,CG,2022-07-05 19:32:04,-3.6819,13.3499,71.58,50,53,1.59
191,Tessalit,ML,2022-07-05 19:32:04,20.1986,1.0114,100.13,8,38,5.26
192,Marystown,CA,2022-07-05 19:27:06,47.1666,-55.1483,62.33,61,15,16.35
193,Port Lincoln,AU,2022-07-05 19:32:05,-34.7333,135.8667,46.69,76,0,7.9
194,Port Elizabeth,ZA,2022-07-05 19:32:06,-33.918,25.5701,59.31,99,100,11.5
195,Iracoubo,GF,2022-07-05 19:32:06,5.4802,-53.2011,80.71,83,24,5.41
196,Sayyan,YE,2022-07-05 19:32:07,15.1718,44.3244,65.21,55,49,4.07
197,Georgetown,MY,2022-07-05 19:30:45,5.4112,100.3354,81.9,90,20,0.0
198,Dudinka,RU,2022-07-05 19:32:07,69.4058,86.1778,52.63,61,100,5.7
199,Sao Raimundo Nonato,BR,2022-07-05 19:32:08,-9.0153,-42.6994,84.16,37,56,9.78
200,Comodoro Rivadavia,AR,2022-07-05 19:30:03,-45.8667,-67.5,46.26,61,0,20.71
201,Nanakuli,US,2022-07-05 19:32:08,21.3906,-158.1547,80.55,74,100,9.22
202,Chuy,UY,2022-07-05 19:32:09,-33.6971,-53.4616,55.67,87,66,9.51
203,Dikson,RU,2022-07-05 19:32:09,73.5069,80.5464,35.49,96,92,10.76
204,Mahon,ES,2022-07-05 19:32:10,39.8885,4.2658,77.56,73,0,11.5
205,Tuktoyaktuk,CA,2022-07-05 19:32:10,69.4541,-133.0374,59.0,88,75,3.44
206,Sitka,US,2022-07-05 19:32:10,57.0531,-135.33,57.09,82,75,14.97
207,Amapa,BR,2022-07-05 19:32:11,1.0,-52.0,80.55,79,52,4.07
208,Parabel,RU,2022-07-05 19:32:11,58.6978,81.4825,59.56,82,96,10.09
209,Codrington,AU,2022-07-05 19:32:12,-38.2667,141.9667,39.99,94,14,7.27
210,Merrill,US,2022-07-05 19:30:11,45.1805,-89.6835,82.58,70,100,1.01
211,San Francisco,US,2022-07-05 19:32:12,37.7749,-122.4194,81.99,84,75,17.27
212,Salima,MW,2022-07-05 19:32:13,-13.7804,34.4587,64.87,61,28,2.89
213,Karaman,TR,2022-07-05 19:32:14,37.0833,33.25,65.21,33,0,7.27
214,Arraial Do Cabo,BR,2022-07-05 19:32:14,-22.9661,-42.0278,80.56,65,0,13.8
215,Rochegda,RU,2022-07-05 19:32:14,62.8,43.25,62.46,90,37,4.94
216,Sabang,ID,2022-07-05 19:32:15,5.8933,95.3214,83.43,74,100,16.6
217,Zeya,RU,2022-07-05 19:32:16,53.75,127.2667,68.76,97,50,4.16
218,Labuhan,ID,2022-07-05 19:32:16,-6.8844,112.2051,77.56,88,71,5.86
219,Svetlogorsk,BY,2022-07-05 19:32:17,52.6333,29.7333,66.83,89,90,4.52
220,Boa Vista,BR,2022-07-05 19:32:17,2.8197,-60.6733,87.78,51,40,3.44
221,Saint-Augustin,CA,2022-07-05 19:32:18,51.226,-58.6502,66.2,39,100,18.57
222,Metro,ID,2022-07-05 19:32:19,-5.1131,105.3067,74.57,95,89,4.65
223,San Jeronimo,PE,2022-07-05 19:32:19,-11.9472,-75.2829,63.12,27,69,4.18
224,Mount Isa,AU,2022-07-05 19:32:20,-20.7333,139.5,47.97,66,97,6.91
225,Ngaoundere,CM,2022-07-05 19:32:20,7.3167,13.5833,64.56,94,67,0.13
226,Carutapera,BR,2022-07-05 19:32:21,-1.195,-46.02,78.42,88,32,7.0
227,Octeville,FR,2022-07-05 19:32:21,49.6261,-1.6435,61.29,72,100,8.05
228,Brentwood,US,2022-07-05 19:32:22,40.7812,-73.2462,78.75,74,75,18.41
229,Wagar,SD,2022-07-05 19:32:22,16.1525,36.2032,92.48,34,4,8.37
230,Sinnamary,GF,2022-07-05 19:32:23,5.3833,-52.95,80.91,82,30,5.88
231,Almaznyy,RU,2022-07-05 19:32:23,48.0448,40.045,67.73,43,0,6.85
232,Longonjo,AO,2022-07-05 19:32:23,-12.9067,15.2533,62.65,35,0,3.96
233,Sorong,ID,2022-07-05 19:32:24,-0.8833,131.25,76.75,92,96,6.76
234,Lasa,IT,2022-07-05 19:33:25,46.6166,10.7002,68.88,87,17,6.2
235,Ochakiv,UA,2022-07-05 19:33:25,46.6128,31.5498,75.13,62,2,8.14
236,Mildura,AU,2022-07-05 19:33:26,-34.2,142.15,42.8,62,0,6.62
237,Saldanha,ZA,2022-07-05 19:31:51,-33.0117,17.9442,53.65,79,0,1.21
238,Nikolskoye,RU,2022-07-05 19:33:26,59.7035,30.7861,66.09,81,65,4.72
239,Beringovskiy,RU,2022-07-05 19:33:26,63.05,179.3167,47.77,85,100,2.82
240,Mogapinyana,BW,2022-07-05 19:33:27,-22.3667,27.6,57.18,58,0,6.53
